Symbol,Price,Time
20MICRONS.NS,214.3,2026-01-02 22:46:48
21STCENMGM.NS,49.39,2026-01-02 22:46:49
360ONE.NS,1200.1,2026-01-02 22:46:49
3IINFOLTD.NS,16.9,2026-01-02 22:46:49
3MINDIA.NS,36170.0,2026-01-02 22:46:49
3PLAND.NS,37.69,2026-01-02 22:46:49
5PAISA.NS,367.8,2026-01-02 22:46:50
63MOONS.NS,725.75,2026-01-02 22:46:50
A2ZINFRA.NS,15.53,2026-01-02 22:46:50
AAATECH.NS,96.67,2026-01-02 22:46:51
AADHARHFC.NS,500.55,2026-01-02 22:46:51
AAKASH.NS,8.76,2026-01-02 22:46:51
AAREYDRUGS.NS,66.34,2026-01-02 22:46:51
AARON.NS,176.5,2026-01-02 22:46:51
AARTECH.NS,48.98,2026-01-02 22:46:52
AARTIDRUGS.NS,410.95,2026-01-02 22:46:52
AARTIIND.NS,376.95,2026-01-02 22:46:52
AARTIPHARM.NS,742.1,2026-01-02 22:46:53
AARTISURF.NS,387.55,2026-01-02 22:46:53
AARVI.NS,128.69,2026-01-02 22:46:53
AAVAS.NS,1443.4,2026-01-02 22:46:53
ABAN.NS,19.86,2026-01-02 22:46:54
ABB.NS,5205.5,2026-01-02 22:46:54
ABBOTINDIA.NS,28125.0,2026-01-02 22:46:54
ABCAPITAL.NS,361.25,2026-01-02 22:46:54
ABCOTS.NS,412.2,2026-01-02 22:46:55
ABDL.NS,580.0,2026-01-02 22:46:55
ABFRL.NS,78.16,2026-01-02 22:46:55
ABINFRA.NS,18.71,2026-01-02 22:46:55
ABLBL.NS,125.18,2026-01-02 22:46:55
ABMINTLLTD.NS,42.0,2026-01-02 22:46:56
ABREL.NS,1664.2,2026-01-02 22:46:56
ABSLAMC.NS,833.6,2026-01-02 22:46:56
ACC.NS,1748.8,2026-01-02 22:46:56
ACCELYA.NS,1309.2,2026-01-02 22:46:57
ACCURACY.NS,5.8,2026-01-02 22:46:57
ACE.NS,976.8,2026-01-02 22:46:57
ACEINTEG.NS,22.74,2026-01-02 22:46:57
ACI.NS,562.7,2026-01-02 22:46:58
ACL.NS,67.02,2026-01-02 22:46:58
ACMESOLAR.NS,240.47,2026-01-02 22:46:58
ACUTAAS.NS,1749.3,2026-01-02 22:46:58
ADANIENSOL.NS,1057.9,2026-01-02 22:46:59
ADANIENT.NS,2279.8,2026-01-02 22:46:59
ADANIGREEN.NS,1038.8,2026-01-02 22:46:59
ADANIPORTS.NS,1489.5,2026-01-02 22:46:59
ADANIPOWER.NS,148.17,2026-01-02 22:47:00
ADFFOODS.NS,204.09,2026-01-02 22:47:00
ADL.NS,79.23,2026-01-02 22:47:00
ADOR.NS,1037.7,2026-01-02 22:47:00
ADROITINFO.NS,10.13,2026-01-02 22:47:03
ADSL.NS,155.46,2026-01-02 22:47:03
ADVANCE.NS,121.26,2026-01-02 22:47:03
ADVANIHOTR.NS,58.08,2026-01-02 22:47:03
ADVENTHTL.NS,235.53,2026-01-02 22:47:04
ADVENZYMES.NS,302.15,2026-01-02 22:47:04
AEGISLOG.NS,726.15,2026-01-02 22:47:04
AEGISVOPAK.NS,248.82,2026-01-02 22:47:04
AEQUS.NS,137.37,2026-01-02 22:47:04
AEROENTER.NS,87.91,2026-01-02 22:47:05
AEROFLEX.NS,197.57,2026-01-02 22:47:05
AERONEU.NS,74.95,2026-01-02 22:47:05
AETHER.NS,944.1,2026-01-02 22:47:05
AFCONS.NS,390.85,2026-01-02 22:47:05
AFFLE.NS,1782.7,2026-01-02 22:47:06
AFFORDABLE.NS,208.78,2026-01-02 22:47:06
AFIL.NS,6.42,2026-01-02 22:47:06
AFSL.NS,202.42,2026-01-02 22:47:06
AGARIND.NS,720.05,2026-01-02 22:47:07
AGARWALEYE.NS,501.95,2026-01-02 22:47:07
AGI.NS,759.65,2026-01-02 22:47:07
AGIIL.NS,273.35,2026-01-02 22:47:07
AGRITECH.NS,153.13,2026-01-02 22:47:07
AGROPHOS.NS,40.48,2026-01-02 22:47:08
AGSTRA.NS,4.15,2026-01-02 22:47:08
AHCL.NS,154.7,2026-01-02 22:47:08
AHLADA.NS,47.43,2026-01-02 22:47:08
AHLEAST.NS,147.53,2026-01-02 22:47:09
AHLUCONT.NS,960.45,2026-01-02 22:47:09
AIAENG.NS,4089.7,2026-01-02 22:47:09
AIIL.NS,3045.8,2026-01-02 22:47:09
AIRAN.NS,18.32,2026-01-02 22:47:10
AIROLAM.NS,101.01,2026-01-02 22:47:10
AJANTPHARM.NS,2949.2,2026-01-02 22:47:10
AJAXENGG.NS,595.1,2026-01-02 22:47:10
AJMERA.NS,1001.75,2026-01-02 22:47:11
AJOONI.NS,4.33,2026-01-02 22:47:11
AKASH.NS,25.76,2026-01-02 22:47:11
AKG.NS,12.56,2026-01-02 22:47:11
AKI.NS,6.79,2026-01-02 22:47:12
AKSHAR.NS,0.5,2026-01-02 22:47:12
AKSHARCHEM.NS,239.07,2026-01-02 22:47:12
AKSHOPTFBR.NS,6.49,2026-01-02 22:47:13
AKUMS.NS,451.85,2026-01-02 22:47:13
AKZOINDIA.NS,3211.6,2026-01-02 22:47:13
ALANKIT.NS,10.87,2026-01-02 22:47:13
ALBERTDAVD.NS,752.7,2026-01-02 22:47:13
ALEMBICLTD.NS,103.37,2026-01-02 22:47:14
ALICON.NS,847.2,2026-01-02 22:47:14
ALIVUS.NS,913.0,2026-01-02 22:47:14
ALKALI.NS,81.16,2026-01-02 22:47:17
ALKEM.NS,5592.5,2026-01-02 22:47:17
ALKYLAMINE.NS,1607.1,2026-01-02 22:47:17
ALLCARGO.NS,11.44,2026-01-02 22:47:17
ALLDIGI.NS,836.95,2026-01-02 22:47:18
ALLTIME.NS,263.35,2026-01-02 22:47:18
ALMONDZ.NS,18.68,2026-01-02 22:47:18
ALOKINDS.NS,16.26,2026-01-02 22:47:18
ALPA.NS,78.04,2026-01-02 22:47:19
ALPHAGEO.NS,229.64,2026-01-02 22:47:19
AMANTA.NS,109.74,2026-01-02 22:47:19
AMBER.NS,6482.5,2026-01-02 22:47:19
AMBICAAGAR.NS,25.5,2026-01-02 22:47:20
AMBIKCO.NS,1247.2,2026-01-02 22:47:20
AMBUJACEM.NS,565.4,2026-01-02 22:47:20
AMDIND.NS,47.29,2026-01-02 22:47:20
AMJLAND.NS,51.37,2026-01-02 22:47:21
AMNPLST.NS,192.33,2026-01-02 22:47:21
AMRUTANJAN.NS,672.75,2026-01-02 22:47:21
ANANDRATHI.NS,3079.4,2026-01-02 22:47:21
ANANTRAJ.NS,584.05,2026-01-02 22:47:22
ANDHRAPAP.NS,67.45,2026-01-02 22:47:22
ANDHRSUGAR.NS,75.98,2026-01-02 22:47:22
ANGELONE.NS,2387.9,2026-01-02 22:47:23
ANIKINDS.NS,51.8,2026-01-02 22:47:23
ANKITMETAL.NS,1.75,2026-01-02 22:47:23
ANMOL.NS,14.26,2026-01-02 22:47:23
ANSALAPI.NS,3.33,2026-01-02 22:47:24
ANTELOPUS.NS,406.4,2026-01-02 22:47:24
ANTGRAPHIC.NS,1.04,2026-01-02 22:47:24
ANTHEM.NS,654.45,2026-01-02 22:47:24
ANUHPHR.NS,80.2,2026-01-02 22:47:25
ANUP.NS,2256.4,2026-01-02 22:47:25
ANURAS.NS,1325.3,2026-01-02 22:47:25
APARINDS.NS,8264.5,2026-01-02 22:47:25
APCL.NS,124.76,2026-01-02 22:47:26
APCOTEXIND.NS,370.85,2026-01-02 22:47:26
APEX.NS,295.95,2026-01-02 22:47:26
APLAPOLLO.NS,1931.9,2026-01-02 22:47:26
APLLTD.NS,835.05,2026-01-02 22:47:27
APOLLO.NS,271.9,2026-01-02 22:47:27
APOLLOHOSP.NS,7129.5,2026-01-02 22:47:27
APOLLOPIPE.NS,289.75,2026-01-02 22:47:28
APOLLOTYRE.NS,497.25,2026-01-02 22:47:28
APOLSINHOT.NS,1188.0,2026-01-02 22:47:28
APTECHT.NS,94.02,2026-01-02 22:47:28
APTUS.NS,283.8,2026-01-02 22:47:29
ARCHIDPLY.NS,89.41,2026-01-02 22:47:29
ARCHIES.NS,18.43,2026-01-02 22:47:29
ARE&M.NS,928.3,2026-01-02 22:47:29
ARENTERP.NS,44.89,2026-01-02 22:47:32
ARFIN.NS,74.78,2026-01-02 22:47:32
ARIES.NS,345.45,2026-01-02 22:47:32
ARIHANTCAP.NS,90.57,2026-01-02 22:47:33
ARIHANTSUP.NS,343.0,2026-01-02 22:47:33
ARISINFRA.NS,131.44,2026-01-02 22:47:33
ARKADE.NS,137.21,2026-01-02 22:47:33
ARMANFIN.NS,1520.9,2026-01-02 22:47:33
AROGRANITE.NS,32.87,2026-01-02 22:47:34
ARROWGREEN.NS,516.05,2026-01-02 22:47:34
ARSHIYA.NS,1.25,2026-01-02 22:47:34
ARSSBL.NS,656.45,2026-01-02 22:47:35
ARTEMISMED.NS,276.15,2026-01-02 22:47:35
ARTNIRMAN.NS,46.67,2026-01-02 22:47:35
ARVEE.NS,199.93,2026-01-02 22:47:35
ARVIND.NS,318.35,2026-01-02 22:47:35
ARVINDFASN.NS,510.55,2026-01-02 22:47:36
ARVSMART.NS,594.3,2026-01-02 22:47:36
ASAHIINDIA.NS,992.1,2026-01-02 22:47:36
ASAHISONG.NS,260.95,2026-01-02 22:47:36
ASAL.NS,485.1,2026-01-02 22:47:37
ASALCBR.NS,952.3,2026-01-02 22:47:37
ASHAPURMIN.NS,901.0,2026-01-02 22:47:37
ASHIANA.NS,286.0,2026-01-02 22:47:37
ASHIMASYN.NS,19.44,2026-01-02 22:47:38
ASHOKA.NS,169.36,2026-01-02 22:47:38
ASHOKAMET.NS,15.68,2026-01-02 22:47:38
ASHOKLEY.NS,188.78,2026-01-02 22:47:38
ASIANENE.NS,288.1,2026-01-02 22:47:39
ASIANHOTNR.NS,324.0,2026-01-02 22:47:39
ASIANPAINT.NS,2772.6,2026-01-02 22:47:39
ASIANTILES.NS,76.65,2026-01-02 22:47:39
ASKAUTOLTD.NS,482.1,2026-01-02 22:47:40
ASMS.NS,12.0,2026-01-02 22:47:40
ASPINWALL.NS,241.05,2026-01-02 22:47:40
ASTEC.NS,715.15,2026-01-02 22:47:40
ASTERDM.NS,613.9,2026-01-02 22:47:41
ASTRAL.NS,1453.4,2026-01-02 22:47:41
ASTRAMICRO.NS,963.35,2026-01-02 22:47:41
ASTRAZEN.NS,8601.5,2026-01-02 22:47:41
ASTRON.NS,6.02,2026-01-02 22:47:41
ATALREAL.NS,25.97,2026-01-02 22:47:42
ATAM.NS,82.58,2026-01-02 22:47:42
ATGL.NS,587.6,2026-01-02 22:47:42
ATHERENERG.NS,741.65,2026-01-02 22:47:42
ATL.NS,28.19,2026-01-02 22:47:43
ATLANTAA.NS,44.45,2026-01-02 22:47:43
ATLANTAELE.NS,907.35,2026-01-02 22:47:43
ATLASCYCLE.NS,104.39,2026-01-02 22:47:44
ATUL.NS,6109.5,2026-01-02 22:47:44
ATULAUTO.NS,464.1,2026-01-02 22:47:46
AUBANK.NS,999.4,2026-01-02 22:47:46
AURIGROW.NS,0.7,2026-01-02 22:47:47
AURIONPRO.NS,1086.2,2026-01-02 22:47:47
AUROPHARMA.NS,1215.4,2026-01-02 22:47:47
AURUM.NS,187.11,2026-01-02 22:47:47
AUSOMENT.NS,110.63,2026-01-02 22:47:48
AUTOAXLES.NS,1969.2,2026-01-02 22:47:48
AUTOIND.NS,79.35,2026-01-02 22:47:48
AVADHSUGAR.NS,373.6,2026-01-02 22:47:48
AVALON.NS,893.75,2026-01-02 22:47:49
AVANTEL.NS,157.67,2026-01-02 22:47:49
AVANTIFEED.NS,880.25,2026-01-02 22:47:49
AVG.NS,175.15,2026-01-02 22:47:49
AVL.NS,483.55,2026-01-02 22:47:50
AVONMORE.NS,18.65,2026-01-02 22:47:50
AVROIND.NS,117.78,2026-01-02 22:47:50
AVTNPL.NS,67.51,2026-01-02 22:47:50
AWFIS.NS,493.9,2026-01-02 22:47:51
AWHCL.NS,492.65,2026-01-02 22:47:51
AWL.NS,236.27,2026-01-02 22:47:51
AXISBANK.NS,1266.9,2026-01-02 22:47:51
AXISCADES.NS,1373.8,2026-01-02 22:47:52
AXITA.NS,11.74,2026-01-02 22:47:52
AYMSYNTEX.NS,170.22,2026-01-02 22:47:52
AZAD.NS,1652.8,2026-01-02 22:47:52
BAFNAPH.NS,151.15,2026-01-02 22:47:53
BAGFILMS.NS,6.27,2026-01-02 22:47:53
